id,journey,user_or_role,data_or_content,route,input,viewport_or_device,browser_or_runtime,mode,session_state,interruption,expected,actual,status,evidence,commit,notes
RM-01,J3,operator,live production JSON,/,pointer,1440x2400 desktop,Chrome headless 3.x,normal,fresh load,none,posture banner and stat tiles render from live data,rendered; banner "[WATCH] Watchlisted behavioral lead at 70.2%"; 7 wallet addresses; no console errors,PASS,captures/home-desktop.png,62713a25c,replaced a month-stale CRITICAL banner (F-012)
RM-02,J3,operator,live production JSON,/,pointer,390x2200 mobile,Chrome headless 3.x,normal,fresh load,none,layout reflows without horizontal overflow,rendered 86KB screenshot; no console errors,PASS,captures/home-mobile.png,62713a25c,
RM-03,J3,operator,live production JSON,/scanner,pointer,1440x2400 desktop,Chrome headless 3.x,normal,fresh load,none,scan results render with tiers from resolved thresholds,rendered; 371 unique wallet addresses; 775KB DOM; no console errors,PASS,captures/scanner-desktop.png,62713a25c,monospace restored on result addresses (F-009)
RM-04,J3,operator,live production JSON,/scanner,pointer,390x2200 mobile,Chrome headless 3.x,normal,fresh load,none,results remain readable at mobile width,rendered 112KB screenshot; no console errors,PASS,captures/scanner-mobile.png,62713a25c,
RM-05,J3,operator,live production JSON,/transfers,pointer,1440x2400 desktop,Chrome headless 3.x,normal,fresh load,none,graded wallets render with behavioural score matching backend grading,rendered; 15 wallet addresses; no console errors,PASS,captures/transfers-desktop.png,62713a25c,now shows current score not all-time best (F-011)
RM-06,J3,operator,live production JSON,/transfers,pointer,390x2200 mobile,Chrome headless 3.x,normal,fresh load,none,graph table reflows,rendered 185KB screenshot; no console errors,PASS,captures/transfers-mobile.png,62713a25c,
RM-07,J3,operator,live production JSON,/recovery,pointer,1440x2400 desktop,Chrome headless 3.x,normal,fresh load,none,candidates and fund flows render with current scores,rendered; 13 wallet addresses; no console errors,PASS,captures/recovery-desktop.png,62713a25c,
RM-08,J3,operator,live production JSON,/recovery,pointer,390x2200 mobile,Chrome headless 3.x,normal,fresh load,none,layout reflows,rendered 154KB screenshot; no console errors,PASS,captures/recovery-mobile.png,62713a25c,
RM-09,J3,operator,live production JSON,/fingerprint,pointer,1440x2400 desktop,Chrome headless 3.x,normal,fresh load,none,fingerprint dimensions render,rendered 23KB DOM; no console errors,PASS,captures/fingerprint-desktop.png,62713a25c,
RM-10,J3,operator,live production JSON,/fingerprint,pointer,390x2200 mobile,Chrome headless 3.x,normal,fresh load,none,layout reflows,rendered 111KB screenshot; no console errors,PASS,captures/fingerprint-mobile.png,62713a25c,
RM-11,J3,operator,live production JSON,/fills,pointer,1440x2400 desktop,Chrome headless 3.x,normal,fresh load,none,fill history renders,rendered 108KB DOM; no console errors,PASS,captures/fills-desktop.png,62713a25c,
RM-12,J3,operator,live production JSON,/fills,pointer,390x2200 mobile,Chrome headless 3.x,normal,fresh load,none,layout reflows,rendered 101KB screenshot; no console errors,PASS,captures/fills-mobile.png,62713a25c,
RM-13,J3,operator,null/empty/malformed data,all,n/a,n/a,Node 24,degraded,no data,n/a,every accessor returns a safe default rather than throwing,currentScore(null)=0; topCandidate([])=null; getAlertState(null...)=null; getThresholds(null)=config default; getPolicy(null)=unknown,PASS,evidence/runs/*runtime,62713a25c,
RM-14,J1,pipeline,local data through 2026-07-29,src/backtest.py,cli,n/a,Python 3.12 Windows,normal,full history,none,self-match PASS ranked 1 with no self-veto,PASS self-match 0.7461 rank 1/21 margin 0.1434 self_vetoes [] failures [],PASS,evidence/runs/*final-backtest,62713a25c,production verdict pending next analyze.yml run
RM-15,J2,pipeline,live candidates,tracer combined route,cli,n/a,Python 3.12 Windows,normal,29 candidates above old gate,none,style-vetoed and score-decayed wallets are suppressed but retained,9 of 29 alert; 15 suppressed by veto and 5 by current score; all retained on watchlist,PASS,tests/test_threshold_coherence.py,62713a25c,
RM-16,J5,operator,104MB data directory,scripts/compact_data.py --dry-run,cli,n/a,Python 3.12 Windows,normal,full history,none,no changes and the irreplaceable datasets are protected,"DRY RUN no changes; protected: calibration, candidates, fills, funding, l1_transactions, ledger, state",PASS,evidence/runs/*gate1-compaction-dryrun,62713a25c,--apply not exercised: it mutates unrecoverable data
RM-17,J1,pipeline,synthetic mutations,full suite,cli,n/a,Python 3.12 Windows,normal,n/a,8 defects re-introduced,each re-introduced defect fails the suite,8 of 8 caught; tree and suite restored,PASS,evidence/runs/*mutation-test,62713a25c,
RM-18,J1,CI,repo,pytest + ruff,cli,n/a,Python 3.12 ubuntu-latest,normal,n/a,none,same commands pass on the CI target,NOT EXECUTED - no ubuntu runner available here; parity inferred from .github/workflows/test.yml running identical commands,BLOCKED,.github/workflows/test.yml,62713a25c,run CI to close
RM-19,J3,operator,live production JSON,all,keyboard only,1440x2000 desktop,Chrome headless 3.x,normal,fresh load,none,every journey operable by keyboard with visible focus,"no positive tabindex on any route; zero empty links; explicit :focus-visible ring added (outline never removed); nav and main landmarks on all 6 routes",PASS,evidence/runs/*a11y,2fd14c25c,"focus order and operability verified structurally, not by a screen-reader session"
RM-20,J3,operator,live production JSON,all,pointer,1440x2000 desktop,Chrome headless 3.x,colour-independence / contrast,fresh load,none,status legible without colour and all text meets WCAG AA,"banner reads [WATCH] in words; scanner tiers render as words; all text colours AA on worst surface after raising --text-muted 2.13->4.58 and --text-secondary 4.43->6.61; 9 chart canvases given role=img + aria-label",PASS,evidence/runs/*a11y,2fd14c25c,"--accent-red 4.27:1 and --accent-purple 4.42:1 are AA-large only, used for large numerals and badges"
